Timestamp,Username,Your Twitter,Your Sei wallet address,Your Discord Username (optional)
2023/04/04 1:07:35 PM AST,,https://twitter.com/echthrass/status/1643298996939792384?s=20,sei18c2ey6y4n6hutmsfp4nu2zdfu20hqf3se7luz8,Dwi#0750
2023/04/04 1:19:58 PM AST,,@0x1no,sei1hcfe7zlw6tnzrttrdvkkxfmqg5slhw6vjlddnc,0x1no#4908
2023/04/04 1:26:27 PM AST,,https://twitter.com/degenlinxi,sei1fjpe286af0rmgm7u7qm22ezt0vwulxz6xhw50q,
2023/04/04 1:36:04 PM AST,,@Lapampam6 ,sei1zh9tq3m0ncnjlecucwhj6yt7xsjcmp6lsxz5cn,Lapampam#6168
2023/04/04 1:36:59 PM AST,,@0xabang,sei10fzw5l9a2glk73wrxcm84wdasc3pkj5jhx2dvl,LPG#5390
2023/04/04 2:04:20 PM AST,,@1mintalpha,sei184gm2cqqwjz5yrxjajg6e3qj33xyx4xh275efu,heropunk#1747
2023/04/04 2:11:36 PM AST,,https://twitter.com/PutraAirdrop/status/1643309849260994560?t=gFuhpNafpqpUgQ8mQ-7hIw&s=19,sei1yyzxdaykellg4mpzj6gxdzrx92nsz2j26ulsdg,ether | Suiswap#4260
2023/04/04 2:24:03 PM AST,,@rikkooeth,sei18zv96uprylzxwarvvlfvvt69emntfhzrlnwjky,Genozz#2707
2023/04/04 2:26:14 PM AST,,@Nubanu_,sei1ndncnsjwy8tk7p6qz02hju5mfak80tv00slrxl,Eevnxx#6001
2023/04/04 2:29:41 PM AST,,https://twitter.com/AjaibSarung,sei1zajyl3dxsg9hhtr4m5wghu4g376qdd4qkjntaf,GARPIT#9739
2023/04/04 2:31:34 PM AST,, https://twitter.com/GuarEmperor,sei1xd49uktp6yzj2jgwh7k6t0cjxydkugacp0t7un,GE.sol#3123
2023/04/04 2:47:00 PM AST,,https://twitter.com/iamrasadi ,sei1autq0wvhvndwkl6qfuky7m9jlxph5s83ye7xk4,iamtest#3374
2023/04/04 3:09:11 PM AST,,https://twitter.com/ekawijanarka48/status/1643329721101606912,sei16eyxpy5akw40gtws9jy993l4reeg0ycfv2vpzp,ekawijanarka#9651
2023/04/04 3:10:38 PM AST,,@rinea056,sei1044qx6m5fk70zhkhdhk4hrr7qyeduamv5qesyg,rinea056#3123
2023/04/04 3:23:46 PM AST,,https://twitter.com/erikseb22,sei1ywk7ywcnlmv5mu3wrx72lmjcw7wvtwnv2jkc33,syahrada#1394
2023/04/04 3:49:45 PM AST,,@solaptosethbnb,sei133kklnfk44rfyysce25ltcrk498f822rrzwenc,
2023/04/04 4:19:10 PM AST,,https://twitter.com/cheikhD12,sei1kmrym700ln8qq507duy0qhfe6r2vnvtv9ttrul,heucha#6341
2023/04/04 4:39:34 PM AST,,https://twitter.com/fixxcrypto,sei1geurzzyuchpphm7jqfk2udlhjastszgzwgu65h,jennyaidha#8636
2023/04/04 4:45:10 PM AST,,https://twitter.com/YordenJ/status/1643353929911095298,sei1jp68gle5zp05c3ncw6yzcvzhhk0wcxnthutrf8,Yorden#8302
2023/04/04 4:49:17 PM AST,,https://twitter.com/Kolokac11/status/1643354762719444992?s=20,sei19wfdvtewwwh0n2gem3nskxpp5exxtm3e0sary4,Kolokac#1549
2023/04/04 4:50:43 PM AST,,https://twitter.com/Hiro_DPz/status/1643354177471647745?s=20,sei1h8a02awm8q8400wwmz7kj8ntdvgemj6j8u6d9s,!Hiro#0001
2023/04/04 4:51:03 PM AST,,https://twitter.com/Azura567/status/1643354332702859264?s=19,sei1xsn5g8cd9dcmwclqjar2hy06485e3p9v6arhvr,Classic Again#7510
2023/04/04 5:36:12 PM AST,,https://twitter.com/FloribelPuente/status/1643366684286132224?s=20,sei1jv2zp28vp9s47yy4p02l32gdw3n2arjzlyleft,Manu | Sisu Network#5615
2023/04/04 5:38:44 PM AST,,@heruyknw,sei1vs9lu6r27vd40u973my2vued2z652ljr0m44ah,Melvores#5935
2023/04/04 5:46:04 PM AST,,https://twitter.com/Fathurrizki_96/status/1643368481763758083?t=Fm3A0_W7Kz70AcpAYmk9EQ&s=19,sei10ws3djwzc5zjmdtd7f48yv2w5sy4xns7f0ccee,Fathurrizki#7347
2023/04/04 5:47:37 PM AST,,https://twitter.com/yasin_cukur/status/1643369659146567683?s=20,sei1gz6y8kg22crcg7d3va3q936llmufjvhpkw7t9v,yasinc#5729
2023/04/04 5:50:38 PM AST,,@arzuavd,sei13v9zrxusj7cfewa660sde0mk87n3etvektkmnn,
2023/04/04 5:51:02 PM AST,,@handandilaravar,sei139f6kyu9gj6ad26kzjl6gwgrat7u9mj08tzvaz,Handan Dilara Varol#2049
2023/04/04 5:53:58 PM AST,,@Mati020586,sei13duq3fe0r6p5ewgte8ked7ljwew65dss3ped65,Matias#9596
2023/04/04 5:58:03 PM AST,,https://twitter.com/slowcoin35/status/1643372203935686656?s=20,sei1swu99mah2m6m9yt6vg29lhjfcu9rl5jg5vxpas,redeucalyptus#1137
2023/04/04 6:01:29 PM AST,,https://twitter.com/z_alwie/status/1643372813871616000,sei19zurpncygkhg3ndq6tzdanz0zngu34fl3gt388,kiekue#5915
2023/04/04 6:29:37 PM AST,,@ar091176,sei10u7et37m4drku5h5v3wj8vr2ycchpmruf2czsy,wokjarm#1735
